category,type,min_credit,max_dti_pct,accepts_ssdi,ssdi_grossup_pct,accepts_1099,months_1099_required,physician_loan,notes
"Fannie Mae (Agency Standard)",Agency,620,50,True,25,True,24,True,"Public guideline: Fannie Mae Selling Guide (fanniemae.com)"
"Freddie Mac (Agency Standard)",Agency,620,50,True,25,True,24,True,"Public guideline: Freddie Mac Seller/Servicer Guide (freddiemac.com)"
"FHA (HUD Standard)",Government,580,57,True,15,True,24,False,"Public guideline: HUD Handbook 4000.1 (hudexchange.info)"
"VA Loan (Standard)",Government,580,41,True,25,True,24,False,"Public guideline: VA Lender's Handbook Chapter 4 (benefits.va.gov)"
"USDA Rural (Standard)",Government,640,41,True,25,True,24,False,"Public guideline: USDA HB-1-3550 (rd.usda.gov)"
"Conservative Bank Overlay (Typical)",Typical Overlay,640,45,True,15,False,0,True,"Represents typical conservative lender overlay. Actual requirements vary by institution."
"Moderate Bank Overlay (Typical)",Typical Overlay,620,50,True,25,True,24,True,"Represents typical moderate lender overlay. Actual requirements vary by institution."
"Flexible Non-Bank Overlay (Typical)",Typical Overlay,600,55,True,25,True,12,True,"Represents flexible non-bank lender overlay. Actual requirements vary by institution."
"Physician Loan Program (Typical)",Physician Specialty,700,55,False,0,False,0,True,"Typical physician loan program terms. MD/DO/DDS/PharmD. Offer letter accepted. No PMI."
"Bank Statement Loan / Non-QM (Typical)",Non-QM,660,55,True,25,True,1,False,"12-24 months bank statements. 50% expense factor typical. Higher rate than QM loans."
"DSCR Investor Loan (Typical)",Non-QM,680,999,False,0,False,0,False,"No income verification — rental income covers PITI. Investment properties only."
"Asset Depletion (Typical)",Non-QM,680,45,False,0,False,0,False,"Assets / 360 months = qualifying income. High net worth borrowers."
"Credit Union (Typical)",Credit Union,620,50,True,25,True,24,False,"Credit unions often follow agency guidelines closely. Member benefits may apply."
"Portfolio Lender (Typical)",Portfolio,600,55,True,25,True,12,True,"Portfolio lenders hold loans on own books. Most flexible — manual underwriting common."
